id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
river,14.21,278738654,-35.09668,87.73,1.58,03-02-2026_21-37-36
zksync,0.02358629,249026975,-9.24076,0.320983,0.02080318,03-02-2026_21-37-36
monero,374.05,6914040051,-8.25053,797.73,0.216177,03-02-2026_21-37-36
axie-infinity,1.58,267432725,-7.36198,164.9,0.123718,03-02-2026_21-37-36
zcash,281.61,4652606384,-6.23991,3191.93,16.08,03-02-2026_21-37-36
optimism,0.222824,433305552,-5.07029,4.84,0.221322,03-02-2026_21-37-36
chiliz,0.04447905,456780362,-4.99313,0.878633,0.00410887,03-02-2026_21-37-36
xdce-crowd-sale,0.03744903,715036936,-4.68836,0.192754,0.00039532,03-02-2026_21-37-36
gnosis,112.61,297385703,-4.61935,644.2,6.88,03-02-2026_21-37-36
plasma,0.101301,218606905,-4.34249,1.68,0.098157,03-02-2026_21-37-36
