id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
wrapped-stx-velar,0.308955,308954914,19.71269,2.96,0.236784,03-02-2026_21-37-36
kinesis-silver,88.88,330526594,14.14233,130.0,4.36,03-02-2026_21-37-36
blockstack,0.319947,570467906,13.46982,3.86,0.04559639,03-02-2026_21-37-36
kaia,0.060799,355941694,6.5737,0.406698,0.050374,03-02-2026_21-37-36
tether-gold,4935.6,3518158900,6.51581,5596.7,1447.84,03-02-2026_21-37-36
pax-gold,4953.66,2226170093,6.25976,5619.09,1399.64,03-02-2026_21-37-36
kinesis-gold,158.25,377628609,5.61824,179.63,44.06,03-02-2026_21-37-36
adi-token,2.48,241247482,5.08599,2.94,0.975425,03-02-2026_21-37-36
sun-token,0.01852615,355785328,4.63441,66.45,0.00462303,03-02-2026_21-37-36
leo-token,8.85,8160121485,4.03942,10.14,0.799859,03-02-2026_21-37-36
